coin,view,fold,feature,importance
ETH,V1,2,RET_5D,0.031698811799287796
ETH,V1,2,RET_20D,0.029104819521307945
ETH,V1,2,TECH_RSI14,0.029654692858457565
ETH,V1,2,TECH_RSI30,0.033710166811943054
ETH,V1,2,TECH_MACD,0.03272734582424164
ETH,V1,2,TECH_MACD_SIG,0.03116682730615139
ETH,V1,2,TECH_MA5R,0.03337782248854637
ETH,V1,2,TECH_MA20R,0.033735986799001694
ETH,V1,2,TECH_MA50R,0.03281152993440628
ETH,V1,2,VOL_ATR14,0.03290719911456108
ETH,V1,2,BAND_BB_W,0.03545881807804108
ETH,V1,2,BAND_KC_W,0.030593333765864372
ETH,V1,2,PX_OBV,0.038806308060884476
ETH,V1,2,VOL_Z20,0.033635444939136505
ETH,V1,2,DERIV_OI_D1,0.0329180546104908
ETH,V1,2,DERIV_OI_PCT1,0.033587124198675156
ETH,V1,2,DERIV_FUND_Z7,0.03213215619325638
ETH,V1,2,DERIV_LSR_D1,0.0
ETH,V1,2,FLOW_LIQ_NET,0.031590793281793594
ETH,V1,2,FLOW_LIQ_ABS,0.031531400978565216
ETH,V1,2,FLOW_TAKER_IMB,0.0
ETH,V1,2,EXBAL_PCT_1D,0.0
ETH,V1,2,SENT_FEAR,0.032481566071510315
ETH,V1,2,SENT_D_FEAR,0.03371484950184822
ETH,V1,2,WEEK_RET_1W,0.029500894248485565
ETH,V1,2,WEEK_RSI_1W,0.03199842944741249
ETH,V1,2,WEEK_MA_CROSS_1W,0.03886512294411659
ETH,V1,3,open,0.03297073394060135
ETH,V1,3,high,0.02931896410882473
ETH,V1,3,low,0.030067535117268562
ETH,V1,3,close,0.03631441295146942
ETH,V1,3,volume,0.03555943816900253
ETH,V1,3,RET_1D,0.03659963235259056
ETH,V1,3,RET_5D,0.03504417836666107
ETH,V1,3,RET_20D,0.03005431964993477
ETH,V1,3,TECH_RSI14,0.02799089439213276
ETH,V1,3,TECH_RSI30,0.03246881812810898
ETH,V1,3,TECH_MACD,0.02982828952372074
ETH,V1,3,TECH_MACD_SIG,0.03166128322482109
ETH,V1,3,TECH_MA5R,0.03369832783937454
ETH,V1,3,TECH_MA20R,0.03631732612848282
ETH,V1,3,TECH_MA50R,0.030316036194562912
ETH,V1,3,VOL_ATR14,0.03367525711655617
ETH,V1,3,BAND_BB_W,0.030734747648239136
ETH,V1,3,BAND_KC_W,0.02941097505390644
ETH,V1,3,PX_OBV,0.033236995339393616
ETH,V1,3,VOL_Z20,0.033975888043642044
ETH,V1,3,DERIV_OI_D1,0.031202828511595726
ETH,V1,3,DERIV_OI_PCT1,0.03578614816069603
ETH,V1,3,DERIV_FUND_Z7,0.030613522976636887
ETH,V1,3,DERIV_LSR_D1,0.0
ETH,V1,3,FLOW_LIQ_NET,0.028489749878644943
ETH,V1,3,FLOW_LIQ_ABS,0.033540140837430954
ETH,V1,3,FLOW_TAKER_IMB,0.0
ETH,V1,3,EXBAL_PCT_1D,0.029860107228159904
ETH,V1,3,SENT_FEAR,0.03368255868554115
ETH,V1,3,SENT_D_FEAR,0.032703615725040436
ETH,V1,3,WEEK_RET_1W,0.033684514462947845
ETH,V1,3,WEEK_RSI_1W,0.032484181225299835
ETH,V1,3,WEEK_MA_CROSS_1W,0.02870861440896988
ETH,V2,1,open,1.5103144629630663
ETH,V2,1,high,1.5830310482930783
ETH,V2,1,low,1.5238690756331128
ETH,V2,1,close,1.7430982165277906
ETH,V2,1,volume,3.4123367349712126
ETH,V2,1,RET_1D,7.057595461419672
